"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week5\possibleips.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\week5","possibleips.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","possibleips","System.Collections.Generic.List`1[System.String]",,"possibleips.txt","C:\Users\champuser\CSI-230\week5\possibleips.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\access.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","access.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","access","System.Collections.Generic.List`1[System.String]",,"access.txt","C:\Users\champuser\CSI-230\Week6\access.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\accessreport.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","accessreport.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","accessreport","System.Collections.Generic.List`1[System.String]",,"accessreport.bash","C:\Users\champuser\CSI-230\Week6\accessreport.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\accounts.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","accounts.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","accounts","System.Collections.Generic.List`1[System.String]",,"accounts.bash","C:\Users\champuser\CSI-230\Week6\accounts.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\activehosts.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","activehosts.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","activehosts","System.Collections.Generic.List`1[System.String]",,"activehosts.txt","C:\Users\champuser\CSI-230\Week6\activehosts.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\badClients.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","badClients.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","badClients","System.Collections.Generic.List`1[System.String]",,"badClients.txt","C:\Users\champuser\CSI-230\Week6\badClients.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\clientIPs.txt","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","clientIPs.txt","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","clientIPs","System.Collections.Generic.List`1[System.String]",,"clientIPs.txt","C:\Users\champuser\CSI-230\Week6\clientIPs.txt",,"True",,".txt","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\detectserver.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","detectserver.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","detectserver","System.Collections.Generic.List`1[System.String]",,"detectserver.bash","C:\Users\champuser\CSI-230\Week6\detectserver.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\logmenu.bash","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","logmenu.bash","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","logmenu","System.Collections.Generic.List`1[System.String]",,"logmenu.bash","C:\Users\champuser\CSI-230\Week6\logmenu.bash",,"True",,".bash","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6\logmenu.bash.save","Microsoft.PowerShell.Core\FileSystem::C:\Users\champuser\CSI-230\Week6","logmenu.bash.save","C","Microsoft.PowerShell.Core\FileSystem","False","-a----","logmenu.bash","System.Collections.Generic.List`1[System.String]",,"logmenu.bash.save","C:\Users\champuser\CSI-230\Week6\logmenu.bash.save",,"True",,".save","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","10/18/2023 12:48:01 PM","10/18/2023 4:48:01 PM","Archive"
